,P_cpi_1,P_cpi_2,P_cpi_3,P_cpi_4,P_cpi_5,P_cpi_6,P_cpi_7,P_cpi_8,P_cpi_9,P_cpi_10,P_cpi_11,P_cpi_12,P_cpi_13,P_cpi_14,P_cpi_15,P_cpi_16,P_eir,P_ppi_1,P_ppi_2,P_ppi_3,P_ppi_4,P_ppi_5,P_ppi_6,P_ppi_7,P_ppi_8,P_ppi_9,P_ppi_10,P_ppi_11,P_ppi_12,P_ppi_13,P_ppi_14,P_ppi_15,P_ppi_16,P_ppi_17,P_ppi_18,P_ppi_19,P_ppi_20,P_ppi_21,P_ppi_22,P_ppi_23,P_ppi_24,P_ppi_25,P_ppi_26,P_ppi_27,P_ppi_28,P_ppi_29,P_ppi_30,P_ppi_31,P_ppi_32,P_ppi_33,P_ppi_34,P_ppi_35,P_ppi_36,P_ppi_37,P_ppi_38,P_ipi_1,P_ipi_2,P_ipi_3,P_ipi_4,P_ipi_5,P_ipi_6,P_ipi_7,P_ipi_8,P_ipi_9,P_ipi_10,P_ipi_11,P_ipi_12,P_ipi_13,P_ipi_14,P_epi_1,P_epi_2,P_epi_3,P_epi_4,P_epi_5,P_epi_6,P_adm,P_eadm,PB_ipi_1,PB_ipi_2,PB_ipi_3,PB_ipi_4,PB_ipi_5,PB_cii_1,PB_cii_2,PB_cii_3,PB_cii_4,PB_cii_5,PB_cii_6,PB_cii_7,PB_cii_8,PB_cii_9,PB_cii_10,PB_cei_1,PB_cei_2,PB_cei_3,PB_cei_4,PB_bsi_1,PB_bsi_2,PB_bsi_3,PB_bsi_4,PB_bsi_5,PB_bsi_6,PB_bsi_7,PB_bsi_8,PB_bsi_9,PB_mavor,PB_ioi_1,PB_ioi_2,PB_ioi_3,PB_ioi_4,PB_ioi_5,PB_ioi_6,L_eap_1,L_eap_2,L_eap_3,L_eap_4,L_eap_5,L_eap_6,L_eap_7,L_eap_8,L_eap_9,L_eap_10,L_eap_11,L_wh_1,L_wh_2,L_wh_3,L_tw_1,L_tw_2,L_tw_3,L_vjp,L_vu,C_rsi_1,C_rsi_2,C_rsi_3,C_rsi_4,C_rsi_5,C_rsi_6,C_spi,C_cgi,C_css_1,C_css_2,C_css_3,C_esi,LM_mb_1,LM_mb_2,LM_mb_3,LM_m1_1,LM_m1_2,LM_m1_3,LM_m1_4,LM_m2_1,LM_m2_2,LM_m2_3,LM_m2_4,LM_cbl_1,LM_cbl_2,LM_cbl_3,LM_cbl_4,LM_cbl_5,LM_hl_1,LM_hl_2,LM_hl_3,LM_hl_4,LM_hl_5,LM_hl_6,LM_hl_7,LM_hl_8,IE_mir_1,IE_mir_2,IE_mir_3,IE_mir_4,IE_mir_5,IE_mir_6,IE_mir_7,IE_lir_1,IE_lir_2,IE_lir_3,IE_lir_4,IE_lir_5,IE_lir_6,IE_lir_7,IE_lir_8,IE_lir_9,IE_ex_1,IE_ex_2,IE_ex_3,IE_mir_9,IE_mir_10,IE_mir_11,IE_mir_12,IE_mir_13,IE_mir_8,EI_evi_1,EI_eai_1,EI_ivi_1,EI_ivi_2,EI_ivi_3,EI_ivi_4,EI_iai_1,EI_iai_2,EI_iai_3,EI_iai_4,EI_tti_1,EI_tti_2,RE_ccv_1,RE_ccv_2,RE_ccv_3,RE_ccv_4,RE_uhis_1,RE_uhis_2,RE_uhis_3,RE_atpi_1,RE_atpi_2,RE_atpi_3,RE_lpi_2,RE_hpi_1,RE_hpi_2,RE_hpi_3,RE_hpi_4,RE_hpi_5,RE_hpi_6,RE_hpi_7,RE_hpi_8,RE_hpi_9,RE_hpi_10,RE_hpi_11,RE_hpi_12,RE_ccs_1,RE_ccs_2,EG_eu_1,EG_eu_2,EG_eu_3,EG_eu_4,EG_eu_5,EG_eu_6,EG_pps_1,EG_pps_2,EG_pps_3,S_spi_1,S_spi_2,S_spi_3,S_spi_4,S_spi_5,S_spi_6,GB_us_1,GB_us_2,GB_us_3,GB_us_4,GB_us_5,GB_us_6,GB_us_7,GB_us_8,GB_us_9,GB_us_10,GB_us_11,GB_us_12,GB_us_13,GB_us_14,GB_us_15,GB_us_16,GB_us_17,GB_us_18,GB_us_19,GB_us_20,GB_us_21,GB_chn_1,GB_chn_2,GB_chn_3,GB_chn_4,GB_chn_5,GB_chn_6,GB_chn_7,GB_cp_1,GB_cp_2,GB_cp_3,GB_cp_4,GB_cp_5,GB_cp_6,GB_cp_7,GB_cp_8,GB_cp_9,GB_cp_10,GB_cp_11,GB_cp_12,GB_cp_13,GB_cp_14,GB_cp_15,GB_cp_16,GB_gscpi,F_fb_1,F_fb_2,F_fb_3,F_fb_4,F_fb_5,F_fb_6,T_nsi,T_usepu,T_uscepu
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.1,,100.4,,,,,,,,,,77.4,,,,,,,,,,,,60.8,5,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,,9.28,10.02,,10.25,,10.14,,8.22,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6,5.557142857,117.3,112,,,1.16,,5.735857143,6.560857143,6.653,,,144.7,56.7,56.6,4,23.202,-0.2,0,,,,,,,,,,,,,,,,,,,,,,-0.58,,,,,,,,89.2,71.91
2000-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.1,,100.4,,,,,,,,,,76.8,,,,,,,,,,,,60.8,4.8,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8.53,8.99,9.54,,10.01,,10.04,,8.24,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.8,5.744285714,116.8,111.3,,,0.79,,5.978,6.653761905,6.520095238,,,140.8,55.8,56.2,4.1,23.5955,0.7,1,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,-1059,,77.6,50.35
2000-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.2,,100.7,,,,,,,,,,77.6,,,,,,,,,,,,60.9,4.6,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,8.35,9.06,9.54,,10,,10.05,,8.44,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,5.871304348,115.4,107.1,,,0.4,,6.102173913,6.491391304,6.246956522,,,137.1,54.9,57.4,4,22.71826087,-0.2,1.9,,,,,,,,,,,,,,,,,,,,,,-0.27,,,,,,5601,,77.55,88.18
2000-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5,,100.9,,,,,,,,,,76.3,,,,,,,,,,,,60.9,4.5,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,8.34,8.95,9.3,,9.97,,9.96,,8.2,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,6.0095,117.8,109.2,,,0.17,,6.0551,6.2509,5.98215,,,137.7,54.7,58,3.8,27.16421053,-0.3,2.6,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,1178,,76.06,82.57
2000-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.2,,101.4,,,,,,,,,,79.8,,,,,,,,,,,,61.1,4.4,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,8.34,8.96,9.29,,9.91,,9.96,,8.24,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8,6.277826087,119.9,110.7,,,0.45,,6.369217391,6.674652174,6.425347826,,,144.7,53.2,57.7,4,26.37318182,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,3540,,97.99,245.01
2000-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.2,,101.7,,,,,,,,,,77.8,,,,,,,,,,,,61.1,4.2,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,8.24,8.66,8.95,,9.72,,9.87,,8.21,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,6.549545455,115.1,106.4,,,0.24,,6.227818182,6.293727273,6.090590909,,,139.2,51.4,56.9,4,21.54,0.5,3,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,-387,,92.97,35.77
2000-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.1,,102.6,,,,,,,,,,80.8,,,,,,,,,,,,61.4,4.2,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16,7.56,8,8.28,,9.13,,9.92,,8.15,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5,6.5185,114.2,108.3,,,-0.09,,6.2663,6.1669,6.04415,,,143,52.5,55.3,4,19.893,0.5,4.5,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,2717,,79.45,60.77
2000-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5,,102.6,,,,,,,,,,81.1,,,,,,,,,,,,61.5,4.2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,7.2,7.85,8.17,,9,,9.77,,8.02,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,6.502608696,112.4,107.3,,,-0.45,,6.345695652,6.053086957,5.825782609,,,140.8,49.9,57.6,4.1,18.08869565,0.3,3.9,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,365,,66.58,22.63
2000-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,,102.3,,,,,,,,,,78.9,,,,,,,,,,,,61.6,4.5,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16,7.26,7.96,8.31,,9,,9.76,,8.09,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4,6.5145,112,106.8,,,-0.38,,6.246285714,5.91252381,5.786571429,,,142.5,49.7,56.7,3.9,19.6875,0,3.7,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,-135,,75.14,99.21
2000-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,,101.7,,,,,,,,,,78.1,,,,,,,,,,,,61.5,4.1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,7.13,7.84,8.19,8.25,8.72,11.61,9.84,,8.13,8.28,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,6.521904762,113.6,105.8,,,-0.55,,6.309636364,5.766954545,5.735,,,135.8,48.7,56.7,3.9,25.2,0,3.6,,,,,,,,,,,,,,,,,,,,,,-0.49,,,,,,242,,84.66,65.77
